011000001 NP ----NSF- Διδαχὴ Διδαχὴ διδαχή Διδαχή grc
011000001 N- ----GSM- κυρίου κυρίου κυρίου κύριος grc
011000001 P- -------- διὰ διὰ διά διά grc
011000001 RA ----GPM- τῶν τῶν τῶν ὁ grc
011000001 A- ----APM- δώδεκα δώδεκα δώδεκα δώδεκα grc
011000001 N- ----GPM- ἀποστόλων ἀποστόλων ἀποστόλων ἀπόστολος grc
011000001 RA ----DPM- τοῖς τοῖς τοῖς ὁ grc
011000001 N- ----DPN- ἔθνεσιν. ἔθνεσιν ἔθνεσιν ἔθνος grc
011001001 N- ----NPM- Ὁδοὶ Ὁδοὶ ὁδοί Ὁδοί grc
011001001 A- ----APM- δύο δύο δύο δύο grc
011001001 V- 3PAI-P-- εἰσί, εἰσί εἰσί εἰμί grc
011001001 A- ----NSF- μία μία μία εἷς grc
011001001 RA ----GSF- τῆς τῆς τῆς ὁ grc
011001001 N- ----GSF- ζωῆς ζωῆς ζωῆς ζωή grc
011001001 C- -------- καὶ καὶ καί καί grc
011001001 A- ----NSF- μία μία μία εἷς grc
011001001 RA ----GSM- τοῦ τοῦ τοῦ ὁ grc
011001001 N- ----GSM- θανάτου, θανάτου θανάτου θάνατος grc
011001001 N- ----NSF- διαφορὰ διαφορὰ διαφορά διαφορά grc
011001001 C- -------- δὲ δὲ δέ δέ grc
011001001 A- ----NSF- πολλὴ πολλὴ πολλή πολύς grc
011001001 P- -------- μεταξὺ μεταξὺ μεταξύ μεταξύ grc
011001001 RA ----GPM- τῶν τῶν τῶν ὁ grc
011001001 A- ----APM- δύο δύο δύο δύο grc
011001001 N- ----GPF- ὁδῶν. ὁδῶν ὁδῶν ὁδός grc
011001002 RA ----NSF- Ἡ Ἡ ἡ ὁ grc
011001002 C- -------- μὲν μὲν μέν μέν grc
011001002 C- -------- οὖν οὖν οὖν οὖν grc
011001002 N- ----NSF- ὁδὸς ὁδὸς ὁδός ὁδός grc
011001002 RA ----GSF- τῆς τῆς τῆς ὁ grc
011001002 N- ----GSF- ζωῆς ζωῆς ζωῆς ζωή grc
011001002 V- 3PAI-S-- ἐστιν ἐστιν ἐστίν εἰμί grc
011001002 RD ----NSF- αὕτη· αὕτη αὕτη οὗτος grc
011001002 A- ----ASN- πρῶτον πρῶτον πρῶτον πρῶτος grc
011001002 V- 2FAI-S-- ἀγαπήσεις ἀγαπήσεις ἀγαπήσεις ἀγαπάω grc
011001002 RA ----ASM- τὸν τὸν τόν ὁ grc
011001002 N- ----ASM- θεὸν θεὸν θεόν θεός grc
011001002 RA ----ASM- τὸν τὸν τόν ὁ grc
011001002 V- -AAPASM- ποιήσαντά ποιήσαντά ποιήσαντα ποιέω grc
011001002 RP ----AS-- σε, σε σε σύ grc
011001002 A- ----ASN- δεύτερον δεύτερον δεύτερον δεύτερος grc
011001002 RA ----ASM- τὸν τὸν τόν ὁ grc
011001002 D- -------- πλησίον πλησίον πλησίον πλησίον grc
011001002 RP ----GS-- σου σου σου σύ grc
011001002 C- -------- ὡς ὡς ὡς ὡς grc
011001002 RP ----ASM- σεαυτόν· σεαυτόν σεαυτόν σεαυτοῦ grc
011001002 A- ----APN- πάντα πάντα πάντα πᾶς grc
011001002 C- -------- δὲ δὲ δέ δέ grc
011001002 RR ----APN- ὅσα ὅσα ὅσα ὅσος grc
011001002 C- -------- ἐὰν ἐὰν ἐάν ἐάν grc
011001002 V- 2AAS-S-- θελήσῃς θελήσῃς θελήσῃς θελέω grc
011001002 D- -------- μὴ μὴ μή μή grc
011001002 V- -PMN---- γίνεσθαί γίνεσθαί γίνεσθαι γίγνομαι grc
011001002 RP ----DS-- σοι, σοι σοι σύ grc
011001002 C- -------- καὶ καὶ καί καί grc
011001002 RP ----NS-- σὺ σὺ σύ σύ grc
011001002 A- ----DSM- ἄλλῳ ἄλλῳ ἄλλῳ ἄλλος grc
011001002 D- -------- μὴ μὴ μή μή grc
011001002 V- 2PAD-S-- ποίει. ποίει ποίει ποιέω grc
011001003 RD ----GPN- Τούτων Τούτων τούτων οὗτος grc
011001003 C- -------- δὲ δὲ δέ δέ grc
011001003 RA ----GPM- τῶν τῶν τῶν ὁ grc
011001003 N- ----GPM- λόγων λόγων λόγων λόγος grc
011001003 RA ----NSF- ἡ ἡ ἡ ὁ grc
011001003 N- ----NSF- διδαχή διδαχή διδαχή διδαχή grc
011001003 V- 3PAI-S-- ἐστιν ἐστιν ἐστίν εἰμί grc
011001003 RD ----NSF- αὕτη· αὕτη αὕτη οὗτος grc
011001003 V- 2PAD-P-- εὐλογεῖτε εὐλογεῖτε εὐλογεῖτε εὐλογέω grc
011001003 RA ----APM- τοὺς τοὺς τούς ὁ grc
011001003 V- -PMPAPM- καταρωμένους καταρωμένους καταρωμένους καταράομαι grc
011001003 RP ----DP-- ὑμῖν ὑμῖν ὑμῖν σύ grc
011001003 C- -------- καὶ καὶ καί καί grc
011001003 V- 2PMD-P-- προσεύχεσθε προσεύχεσθε προσεύχεσθε προσεύχομαι grc
011001003 P- -------- ὑπὲρ ὑπὲρ ὑπέρ ὑπέρ grc
011001003 RA ----GPM- τῶν τῶν τῶν ὁ grc
011001003 A- ----GPM- ἐχθρῶν ἐχθρῶν ἐχθρῶν ἐχθρός grc
011001003 RP ----GP-- ὑμῶν, ὑμῶν ὑμῶν σύ grc
011001003 V- 2PAD-P-- νηστεύετε νηστεύετε νηστεύετε νηστεύω grc
011001003 C- -------- δὲ δὲ δέ δέ grc
011001003 P- -------- ὑπὲρ ὑπὲρ ὑπέρ ὑπέρ grc
011001003 RA ----GPM- τῶν τῶν τῶν ὁ grc
011001003 V- -PAPGPM- διωκόντων διωκόντων διωκόντων διώκω grc
011001003 RP ----AP-- ὑμᾶς· ὑμᾶς ὑμᾶς σύ grc
